Date,Heure,Post ID,Légende,Likes,Commentaires,Hashtags
2024-10-01,21:00,POST001,Découvrez notre nouveau produit : Crème visage naturel,664,39,"#modeafricaine, #lifestyle, #local, #soin, #waxstyle"
2024-10-02,15:00,POST002,Découvrez notre nouveau produit : Robe wax,997,69,"#lifestyle, #local, #bio, #madeinafrica"
2024-10-03,8:00,POST003,Découvrez notre nouveau produit : Collier perles,439,51,"#local, #senegal, #tendance"
2024-10-04,9:00,POST004,Découvrez notre nouveau produit : Sac en raphia,191,7,"#senegal, #cotedivoire, #soin"
2024-10-05,10:30,POST005,Découvrez notre nouveau produit : Sac en raphia,466,5,"#beauté, #greenbeauty, #cotedivoire, #senegal"
2024-10-06,15:30,POST006,Découvrez notre nouveau produit : Collier perles,554,9,"#local, #bio, #soin, #madeinafrica, #modeafricaine, #cotedivoire"
2024-10-07,11:30,POST007,Découvrez notre nouveau produit : Savon noir,527,18,"#bio, #lifestyle, #beauté, #promotion"
2024-10-08,22:00,POST008,Découvrez notre nouveau produit : Huile de karité,608,31,"#madeinafrica, #promotion, #local, #modeafricaine, #senegal, #bio"
2024-10-09,10:30,POST009,Découvrez notre nouveau produit : Sac en raphia,875,13,"#soin, #promotion, #lifestyle, #tendance, #benin, #senegal"
2024-10-10,8:30,POST010,Découvrez notre nouveau produit : Sac en raphia,134,19,"#greenbeauty, #promotion, #senegal, #bio, #beauté, #tendance"
2024-10-11,12:30,POST011,Découvrez notre nouveau produit : Robe wax,305,46,"#lifestyle, #local, #soin, #waxstyle, #promotion"
2024-10-12,12:30,POST012,Découvrez notre nouveau produit : Sac en raphia,180,55,"#soin, #local, #waxstyle, #senegal, #modeafricaine, #beauté"
2024-10-13,19:30,POST013,Découvrez notre nouveau produit : Crème visage naturel,661,67,"#waxstyle, #benin, #lifestyle, #promotion"
2024-10-14,10:00,POST014,Découvrez notre nouveau produit : Savon noir,971,56,"#bio, #greenbeauty, #local"
2024-10-15,12:00,POST015,Découvrez notre nouveau produit : Huile de karité,487,8,"#beauté, #bio, #greenbeauty, #local, #modeafricaine, #cotedivoire"
2024-10-16,8:00,POST016,Découvrez notre nouveau produit : Sandales cuir,101,27,"#benin, #promotion, #senegal, #cotedivoire, #madeinafrica, #local"
2024-10-17,19:30,POST017,Découvrez notre nouveau produit : Huile de karité,489,19,"#cotedivoire, #lifestyle, #tendance, #madeinafrica, #beauté, #greenbeauty"
2024-10-18,8:00,POST018,Découvrez notre nouveau produit : Savon noir,665,47,"#madeinafrica, #benin, #waxstyle, #cotedivoire, #soin, #promotion"
2024-10-19,17:30,POST019,Découvrez notre nouveau produit : Chemise brodée,205,33,"#senegal, #local, #waxstyle, #cotedivoire"
2024-10-20,16:00,POST020,Découvrez notre nouveau produit : Crème visage naturel,871,40,"#madeinafrica, #cotedivoire, #benin, #soin, #lifestyle, #bio"
2024-10-21,8:00,POST021,Découvrez notre nouveau produit : Chemise brodée,921,17,"#bio, #tendance, #promotion, #madeinafrica, #cotedivoire, #soin"
2024-10-22,21:00,POST022,Découvrez notre nouveau produit : Savon noir,576,36,"#soin, #cotedivoire, #bio"
2024-10-23,9:00,POST023,Découvrez notre nouveau produit : Robe wax,802,75,"#bio, #madeinafrica, #waxstyle, #cotedivoire, #benin, #local"
2024-10-24,18:00,POST024,Découvrez notre nouveau produit : Sandales cuir,501,63,"#benin, #greenbeauty, #cotedivoire, #waxstyle, #beauté, #soin"
2024-10-25,14:00,POST025,Découvrez notre nouveau produit : Huile de karité,829,32,"#senegal, #madeinafrica, #beauté"
2024-10-26,22:00,POST026,Découvrez notre nouveau produit : T-shirt coton bio,655,70,"#benin, #local, #soin"
2024-10-27,17:00,POST027,Découvrez notre nouveau produit : Pantalon pagne,261,46,"#lifestyle, #soin, #madeinafrica"
2024-10-28,17:00,POST028,Découvrez notre nouveau produit : Huile de karité,301,49,"#local, #greenbeauty, #madeinafrica"
2024-10-29,14:30,POST029,Découvrez notre nouveau produit : Robe wax,369,66,"#local, #bio, #senegal, #soin"
2024-10-30,22:30,POST030,Découvrez notre nouveau produit : Sandales cuir,962,61,"#tendance, #local, #senegal"
2024-10-31,11:30,POST031,Découvrez notre nouveau produit : Pantalon pagne,915,10,"#lifestyle, #benin, #bio, #tendance, #soin"
2024-11-01,11:30,POST032,Découvrez notre nouveau produit : Crème visage naturel,370,32,"#lifestyle, #bio, #waxstyle"
2024-11-02,14:00,POST033,Découvrez notre nouveau produit : Savon noir,555,32,"#tendance, #madeinafrica, #waxstyle"
2024-11-03,18:30,POST034,Découvrez notre nouveau produit : Savon noir,561,48,"#cotedivoire, #beauté, #local, #modeafricaine, #tendance, #lifestyle"
2024-11-04,15:30,POST035,Découvrez notre nouveau produit : Crème visage naturel,826,34,"#beauté, #lifestyle, #waxstyle"
2024-11-05,22:00,POST036,Découvrez notre nouveau produit : Pantalon pagne,351,66,"#lifestyle, #tendance, #madeinafrica"
2024-11-06,8:30,POST037,Découvrez notre nouveau produit : Chemise brodée,801,79,"#promotion, #cotedivoire, #soin, #benin, #modeafricaine"
2024-11-07,17:00,POST038,Découvrez notre nouveau produit : Sandales cuir,395,66,"#madeinafrica, #cotedivoire, #senegal, #modeafricaine, #lifestyle"
2024-11-08,9:00,POST039,Découvrez notre nouveau produit : Crème visage naturel,824,5,"#soin, #senegal, #beauté, #bio, #cotedivoire"
2024-11-09,16:30,POST040,Découvrez notre nouveau produit : Pantalon pagne,819,31,"#beauté, #promotion, #soin, #waxstyle"
2024-11-10,10:30,POST041,Découvrez notre nouveau produit : Sac en raphia,848,66,"#senegal, #cotedivoire, #beauté, #tendance, #waxstyle, #benin"
2024-11-11,22:00,POST042,Découvrez notre nouveau produit : Huile de karité,437,7,"#greenbeauty, #modeafricaine, #waxstyle, #senegal"
2024-11-12,22:00,POST043,Découvrez notre nouveau produit : Robe wax,978,74,"#lifestyle, #senegal, #tendance, #beauté"
2024-11-13,13:30,POST044,Découvrez notre nouveau produit : Crème visage naturel,152,76,"#benin, #madeinafrica, #senegal, #greenbeauty, #bio, #beauté"
2024-11-14,10:30,POST045,Découvrez notre nouveau produit : Robe wax,891,31,"#benin, #lifestyle, #waxstyle, #greenbeauty"
2024-11-15,21:30,POST046,Découvrez notre nouveau produit : Chemise brodée,316,13,"#tendance, #beauté, #waxstyle, #promotion, #madeinafrica"
2024-11-16,17:00,POST047,Découvrez notre nouveau produit : Chemise brodée,863,66,"#modeafricaine, #local, #beauté, #cotedivoire"
2024-11-17,18:30,POST048,Découvrez notre nouveau produit : Sac en raphia,287,41,"#promotion, #lifestyle, #local, #senegal, #soin, #tendance"
2024-11-18,22:00,POST049,Découvrez notre nouveau produit : Savon noir,479,55,"#modeafricaine, #waxstyle, #local"
2024-11-19,22:00,POST050,Découvrez notre nouveau produit : Crème visage naturel,592,48,"#beauté, #local, #waxstyle, #soin, #tendance, #benin"
2024-11-20,12:00,POST051,Découvrez notre nouveau produit : Sandales cuir,140,28,"#promotion, #greenbeauty, #benin, #cotedivoire, #lifestyle, #beauté"
2024-11-21,22:00,POST052,Découvrez notre nouveau produit : Savon noir,256,63,"#beauté, #senegal, #waxstyle, #greenbeauty, #soin"
2024-11-22,19:00,POST053,Découvrez notre nouveau produit : Pantalon pagne,114,36,"#modeafricaine, #beauté, #local, #benin"
2024-11-23,12:30,POST054,Découvrez notre nouveau produit : Savon noir,912,56,"#beauté, #promotion, #greenbeauty"
2024-11-24,17:00,POST055,Découvrez notre nouveau produit : Sandales cuir,164,66,"#local, #greenbeauty, #beauté, #senegal"
2024-11-25,19:30,POST056,Découvrez notre nouveau produit : Huile de karité,956,62,"#beauté, #tendance, #promotion, #lifestyle, #waxstyle"
2024-11-26,11:30,POST057,Découvrez notre nouveau produit : Chemise brodée,938,56,"#greenbeauty, #local, #waxstyle"
2024-11-27,16:30,POST058,Découvrez notre nouveau produit : Huile de karité,620,16,"#benin, #bio, #waxstyle, #madeinafrica"
2024-11-28,12:00,POST059,Découvrez notre nouveau produit : Crème visage naturel,443,43,"#waxstyle, #madeinafrica, #lifestyle, #promotion"
2024-11-29,9:30,POST060,Découvrez notre nouveau produit : Savon noir,228,6,"#beauté, #bio, #soin, #senegal, #modeafricaine"
2024-11-30,21:30,POST061,Découvrez notre nouveau produit : Crème visage naturel,747,7,"#tendance, #waxstyle, #senegal"
2024-12-01,8:00,POST062,Découvrez notre nouveau produit : Huile de karité,571,60,"#senegal, #benin, #bio, #madeinafrica, #waxstyle, #greenbeauty"
2024-12-02,13:00,POST063,Découvrez notre nouveau produit : Chemise brodée,162,63,"#greenbeauty, #modeafricaine, #cotedivoire"
2024-12-03,18:30,POST064,Découvrez notre nouveau produit : T-shirt coton bio,238,6,"#modeafricaine, #tendance, #soin, #beauté, #madeinafrica, #bio"
2024-12-04,10:30,POST065,Découvrez notre nouveau produit : Sac en raphia,598,6,"#lifestyle, #tendance, #waxstyle, #modeafricaine"
2024-12-05,16:30,POST066,Découvrez notre nouveau produit : Crème visage naturel,692,58,"#modeafricaine, #promotion, #cotedivoire, #tendance"
2024-12-06,16:00,POST067,Découvrez notre nouveau produit : Crème visage naturel,491,5,"#lifestyle, #promotion, #cotedivoire, #senegal"
2024-12-07,9:00,POST068,Découvrez notre nouveau produit : T-shirt coton bio,774,23,"#waxstyle, #tendance, #cotedivoire, #greenbeauty, #lifestyle, #madeinafrica"
2024-12-08,22:00,POST069,Découvrez notre nouveau produit : Pantalon pagne,518,6,"#lifestyle, #local, #soin"
2024-12-09,16:00,POST070,Découvrez notre nouveau produit : Pantalon pagne,388,57,"#waxstyle, #soin, #modeafricaine, #bio"
2024-12-10,21:30,POST071,Découvrez notre nouveau produit : Huile de karité,478,48,"#bio, #promotion, #modeafricaine, #greenbeauty"
2024-12-11,17:00,POST072,Découvrez notre nouveau produit : Crème visage naturel,872,36,"#cotedivoire, #senegal, #beauté"
2024-12-12,14:00,POST073,Découvrez notre nouveau produit : Chemise brodée,589,74,"#waxstyle, #madeinafrica, #local, #greenbeauty, #soin, #senegal"
2024-12-13,8:30,POST074,Découvrez notre nouveau produit : Robe wax,330,36,"#soin, #local, #waxstyle"
2024-12-14,13:00,POST075,Découvrez notre nouveau produit : Huile de karité,140,72,"#cotedivoire, #modeafricaine, #promotion, #local"
2024-12-15,22:30,POST076,Découvrez notre nouveau produit : Huile de karité,127,59,"#waxstyle, #bio, #modeafricaine, #madeinafrica"
2024-12-16,11:00,POST077,Découvrez notre nouveau produit : Sac en raphia,234,79,"#lifestyle, #waxstyle, #tendance, #beauté"
2024-12-17,18:00,POST078,Découvrez notre nouveau produit : Crème visage naturel,300,60,"#senegal, #modeafricaine, #greenbeauty, #waxstyle, #cotedivoire"
2024-12-18,13:30,POST079,Découvrez notre nouveau produit : Pantalon pagne,939,21,"#promotion, #greenbeauty, #senegal, #beauté, #modeafricaine"
2024-12-19,17:00,POST080,Découvrez notre nouveau produit : Pantalon pagne,879,42,"#cotedivoire, #beauté, #benin"
2024-12-20,22:00,POST081,Découvrez notre nouveau produit : Savon noir,132,28,"#madeinafrica, #modeafricaine, #local, #soin, #tendance"
2024-12-21,21:00,POST082,Découvrez notre nouveau produit : Collier perles,147,73,"#lifestyle, #soin, #waxstyle"
2024-12-22,20:00,POST083,Découvrez notre nouveau produit : Collier perles,602,74,"#lifestyle, #greenbeauty, #bio"
2024-12-23,22:30,POST084,Découvrez notre nouveau produit : Collier perles,506,15,"#promotion, #soin, #senegal, #waxstyle, #bio, #cotedivoire"
2024-12-24,8:00,POST085,Découvrez notre nouveau produit : Sac en raphia,673,20,"#modeafricaine, #senegal, #benin, #cotedivoire, #beauté, #tendance"
2024-12-25,19:30,POST086,Découvrez notre nouveau produit : Chemise brodée,827,77,"#greenbeauty, #bio, #benin"
2024-12-26,20:30,POST087,Découvrez notre nouveau produit : Collier perles,904,63,"#beauté, #senegal, #waxstyle, #soin, #cotedivoire, #promotion"
2024-12-27,20:00,POST088,Découvrez notre nouveau produit : T-shirt coton bio,198,74,"#senegal, #modeafricaine, #benin"
2024-12-28,12:00,POST089,Découvrez notre nouveau produit : Sandales cuir,783,7,"#benin, #modeafricaine, #cotedivoire, #promotion, #madeinafrica"
2024-12-29,20:00,POST090,Découvrez notre nouveau produit : Huile de karité,971,24,"#cotedivoire, #madeinafrica, #local, #promotion, #benin, #senegal"
